X.1,X,Y,habitat_pt,elevation,pc_broad,pc_conif,pc_ag,pc_wet,pc_heath,pc_urban,patches,pc_igrass,pc_sgrass,d_rabbit,r_dens,d_water,d_building,fclass,all_mt_,presence,moran
1,53.24147279,-3.797253794,3,75.96,27.2410442,27.75041051,2.422841058,0,0,0.36526926,5,41.09781844,1.122616534,13684.83140340000,1.96E-06,115.2051698,0.006607411,tertiary,7143,1,0.000824368
2,53.26027553,-3.456410206,1,18.12,19.08599443,3.918605823,0.661495584,0,0,0.983848763,5,75.21238373,0.13767167,10705.26465750000,2.20E-06,137.0350696,0.001786628,trunk,10839,1,0.000423181
3,51.91979135,-3.312954244,18,179.45,1.649464007,2.678304736,0,0,0,0.099565232,4,31.43274369,64.13992234,7689.44792720000,3.38E-06,113.7768666,0.004898203,trunk,2295,1,-0.000142056
4,51.83921573,-4.984440288,18,36.79,10.72288351,0,5.513574963,0,0,8.05804467,4,75.01337435,0,6210.79879962000,3.58E-06,16.95917113,0.007112873,tertiary,9627,1,3.66E-05
5,51.76412984,-4.9533336,18,48.75,13.46876351,3.993084417,0.618412741,0,0,10.68923097,6,61.25278452,9.136549523,11176.51712560000,5.80E-06,25.73873774,0.000382551,tertiary,16038,1,-2.87E-05
6,52.385585,-3.600040115,18,344.95,9.223000489,0,21.40413748,0,0,5.75012217,4,62.72682847,0.895911386,8059.01097482000,6.12E-06,88.12828832,0.006392316,trunk,3383,1,0.000518404
7,51.90898688,-3.47867372,24,327.36,9.319270695,1.62363588,0.279478307,0,0,0.751929731,6,80.4365185,6.541123237,6884.97171616000,2.98E-06,91.27157941,0.002038205,trunk,6933,1,-0.000306738
8,51.88290513,-5.211816444,12,49.8,2.560583746,0,1.077788191,0,0,1.064399518,4,95.08300977,0.214218771,1944.64780255000,2.98E-06,7.544711119,0.007961074,unclassified,3412,1,-8.80E-06
9,53.2043712,-4.164293193,18,69.01,6.17590758,0,3.193740135,0,0,3.418746012,4,87.15115693,0,12436.74081540000,7.19E-06,100.8966443,0.002668801,trunk,26432,1,-0.001672455
10,51.50571838,-3.635304457,12,63.71,11.4338993,0,23.59407204,0,0,17.40111885,3,47.5709098,0,7638.51172119000,9.44E-06,91.42955726,0.000354639,primary,27728,1,8.63E-06
11,52.01147924,-3.288214916,18,225.88,18.33249455,7.015601409,0,0,0,0.55359839,3,74.09830565,0,12572.88140340000,4.25E-06,116.8486276,0.022112875,trunk,4490,1,0.000514915
12,52.55451108,-3.23300001,18,157.98,8.632341898,2.350713376,45.52874727,0,0,14.64951517,6,24.81308564,1.838127265,3345.29607941000,5.67E-06,128.4625954,0.003790969,trunk,10868,1,0.000186193
13,52.61985302,-3.172794098,12,91.21,21.26696833,26.32143456,1.233450645,0,0,0.412267471,5,42.99312888,7.772750126,7480.17927666000,6.04E-06,134.1337559,0.004495484,trunk,4843,1,0.00015375
14,53.2976303,-4.597365987,3,4.11,10.0611987,1.623095856,0.279385352,0,0,0.751679638,6,79.53834897,6.698596421,7134.94194729000,8.65E-06,104.3645463,0.002180007,primary,6491,1,0.000863926
