Record Date,Grid Reference,X,Y,Location,Vice County,Classification
16/12/2013,SN541312,254100,231200,Brechfa,44,True polecat
07/01/2014,SN263215,226300,221500,Castell Gorfod,44,True polecat
18/02/2014,SN912776,291200,277600,Dolfach,47,True polecat
20/2/2014,SN4058341837 ,240583,241837,Llandysul,46,True polecat
03/12/2014,SN967686,296700,268600,Rhayader,43,True polecat
14/03/14,SN4180718434  ,241807,218434,Carmarthen,44,Unverified
14/03/2014,SJ0459570185,304595,370185,Trefnant,50,True polecat
17/03/2014,SO0485365690 ,304853,265690,Gwystre,43,True polecat
17/03/2014,SH8126077593,281260,377593,Dolwyd,50,Unverified
24/03/2014,SN450338,245000,233800,Alltwalis,44,True polecat
14/04/2014,SN303211,230300,221100,Drefach,44,True polecat
19/04/2014,SJ312476,331200,347600,Rhostyllen,50,True polecat
18/04/2014,SN3325,233000,225000,Talog,44,True polecat
17/04/2014,SJ359568,335900,356800,Rossett,50,True polecat
19/04/2014,SJ358567,335800,356700,Rossett,50,Unverified
24/03/2014,SH5569,255000,369000,Bangor,49,Unverified
24/03/2014,SH44537412,244530,374120,Rhostrehwfa,52,Unverified
21/03/2014,SJ310495,331000,349500,Rhostyllen,50,Unverified
20/03/2014,SJ3097649850,330976,349850,Bersham,50,Unverified
03/06/2014,SJ0294674687,302946,374687,St Asaph,51,Unverified
04/02/2014,SJ358566,335800,356600,Marford,50,Unverified
04/02/2014,SJ3049,330000,349000,Bersham,50,Unverified
04/01/2014,SN363193,236300,219300,Travellers Rest,44,Unverified
23/04/2014,SO4710,347000,210000,Dingestow,35,Unverified
25/04/2014,SS9951880131,299518,180131,Llanharry,41,Unverified
05/05/2014,SN50253020 ,250250,230200,Brechfa,44,True polecat
18/05/2014,SN0202,202000,202000,Milton,45,Unverified
17/03/2014,SO047657,304700,265700,Nantmel,43,True polecat
26/05/2014,SH8104853611,281048,353611,Dinas Mawr,50,Unverified
06/11/2014,SO1168235567,311682,235567,Llyswen,42,True polecat
